validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_mean,MeanSquaredError_std
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_AR-vol_GARCH,3.454054594039917,4.106346203957404,2.548328170871949,4.712539756614547,0.910852518743649,2.6749354309565376,2.411891308983183,2.285901995957921,6.179514839264051,5.628836274296443,4.618688304821033,3.8477644599488867,3.629599933128691,1.6026667804212937
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_ged-mean_HARX-vol_GARCH,2.660989761352539,4.101756200268988,2.5482091692877025,4.712624265636549,0.9108323783042892,2.680607140800273,2.411882866524158,2.285892248394854,6.17956551098632,5.628754989506025,4.618498646091766,3.8315479362593274,3.6281973956418407,1.6019855234313236
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_normal-mean_AR-vol_GARCH,2.6337826251983643,4.276866775546236,2.214043242283667,4.3214260460544365,1.1564034129923402,2.9037158108488983,2.365578873079036,2.2909504569230807,6.590980643758976,5.971237239448448,4.370670453224259,3.8842156188162225,3.6678262339068723,1.6669043412089883
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_normal-mean_HARX-vol_GARCH,2.448460102081299,4.205125553820876,2.214125876348116,4.369814313759748,1.1562729725958205,2.9037064645199053,2.371642337751685,2.2921311216661597,6.5908494853865,5.97122572759872,4.370415502409356,3.883593466257761,3.666263892919514,1.6658032770668294
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_skewt-mean_AR-vol_GARCH,4.290842533111572,4.168701015433635,2.397998728668193,4.690503376208336,0.9509204614908989,2.71389448544412,2.400565502775812,2.2951408283548473,6.184237359934128,5.4671482405979805,4.4063753238440615,3.842233807906612,3.5925199209689653,1.573987282922951
p01,ARCH-p_12-q_12-o_4-lags_12-power_1-dist_skewt-mean_HARX-vol_GARCH,3.9487550258636475,4.168706208654562,2.4498824328765965,4.6891833657569775,0.9509404381281439,2.713770407862639,2.400542950866634,2.295129622403748,6.1843200103055755,5.465636461768468,4.40608924819517,3.536016654593927e+42,3.214560595085388e+41,1.0661491359759805e+42
p01,ARCH-p_12-q_12-o_4-lags_16-power_1-dist_ged-mean_AR-vol_GARCH,3.5460994243621826,4.319416821980111,2.595351315065334,4.6348340411794595,0.8884465916495623,2.6645693391053697,2.4445792625484426,2.274146559125971,6.148118436228759,5.64454021568319,4.672563417774932,3.94370518550595,3.6572973805315527,1.6069742618310943
p01,ARCH-p_12-q_12-o_4-lags_16-power_1-dist_ged-mean_HARX-vol_GARCH,3.2938828468322754,4.319259619060863,2.5952589806496493,4.634886633338086,0.8885905559254014,2.6838302797295133,2.4446799501454217,2.2741424153768373,6.148409452305739,5.644621976287655,4.672545989540175,3.9438089409770694,3.659094072121492,1.6058211665260247
p01,ARCH-p_12-q_12-o_4-lags_16-power_1-dist_normal-mean_AR-vol_GARCH,3.0100317001342773,4.409735016953977,2.2883757984386883,4.346468143154439,1.1160726481151098,2.788591188726472,2.436062600501617,2.2822378909908596,6.575988430418382,5.9486507226866525,4.32974538565145,3.9421923512888335,3.678556379720589,1.667548477930121
p01,ARCH-p_12-q_12-o_4-lags_16-power_1-dist_normal-mean_HARX-vol_GARCH,2.7962188720703125,4.425891126511505,2.3058447013147085,4.343988540476946,1.1159917353240887,2.8434046568443097,2.4354307632898657,2.283113445214976,6.57593088374674,5.948757253071866,4.3403474351255245,3.900353385865429,3.6835503569805415,1.6636695216292436
